,DEP,Population,NombreEvenements,Concentration,moy_lati,moy_longi
0,978,,,0.0,,
1,975,,15.0,0.0,,
2,987,,5.0,0.0,,
3,986,,,0.0,,
4,988,,6.0,0.0,,
5,22,539900.0,1116.0,2.067049453602519,48.386008166171976,-2.5935130641887367
6,92,1426500.0,440.0,0.30844724851034,48.64741392658827,2.5321117444193217
7,32,173400.0,500.0,2.883506343713956,44.04076726665825,0.8591171462016081
8,72,345000.0,556.0,1.6115942028985508,47.913101906587066,0.4366831660626143
9,20,299200.0,457.0,1.5274064171122994,41.90529723896049,8.95103611383854
10,20,299200.0,457.0,1.5274064171122994,42.4399491553772,9.278040208425663
11,86,377500.0,847.0,2.2437086092715233,46.520285739107614,0.8202561901691431
12,971,,180.0,0.0,,
13,88,342500.0,494.0,1.4423357664233576,48.14899220548286,5.793636736067923
14,66,394500.0,522.0,1.3231939163498099,42.95526791514346,2.51699691922622
15,95,1120900.0,537.0,0.4790793112677313,48.854071945020806,2.3065509423684323
16,33,1301400.0,1505.0,1.15644690333487,45.04087110411622,0.1387285807562256
17,68,724800.0,741.0,1.0223509933774835,47.7758061734977,7.057562963298559
18,56,676300.0,1337.0,1.9769333136182168,47.72349521817196,-2.247040786311916
19,27,472800.0,567.0,1.1992385786802031,48.95202347008819,1.1939725587030974
20,20,299200.0,457.0,1.5274064171122994,41.90529723896049,8.95103611383854
21,20,299200.0,457.0,1.5274064171122994,42.4399491553772,9.278040208425663
22,44,1062400.0,624.0,0.5873493975903614,47.33769975796257,-1.360587561986159
23,77,1221200.0,937.0,0.7672780871274156,48.5107366883235,2.755633251969098
24,974,,244.0,0.0,,
25,67,1074400.0,1162.0,1.0815338793745346,48.58522638819397,7.401846338544583
26,05,110300.0,332.0,3.0099728014505893,46.003167231983134,3.543737882884503
27,15,139800.0,549.0,3.927038626609442,45.1965015042512,2.574990464861308
28,82,225500.0,406.0,1.8004434589800444,44.4013980259266,1.3018954876436146
29,64,623800.0,653.0,1.046809874959923,43.497310695387,-0.4892026135478944
30,42,674900.0,633.0,0.937916728404208,45.81620157802213,4.108904368256903
31,57,1017700.0,583.0,0.572860371425764,48.93774580461054,6.31180488697759
32,63,582700.0,1157.0,1.985584348721469,45.72852022971204,3.0981821690877025
33,62,1394500.0,1066.0,0.7644316959483686,50.18484175546575,2.343690225451298
34,30,654700.0,870.0,1.328852909729647,44.372948285158536,3.7472083391821407
35,31,1178800.0,902.0,0.7651849338310146,43.717991657687655,1.315875675196224
36,11,343600.0,832.0,2.421420256111758,43.374345284295046,2.312577089674626
37,29,841400.0,1193.0,1.4178749702876159,48.23323152489829,-3.725097117720856
38,71,499200.0,986.0,1.9751602564102564,46.77668475303989,4.292275920873501
39,06,978700.0,702.0,0.7172780218657403,46.15611936936085,2.7068188760075724
40,26,404100.0,461.0,1.1408067310071763,44.71608824793925,4.940428245567984
41,49,500500.0,924.0,1.8461538461538463,47.339652815013054,-0.3019345517884984
42,17,481200.0,1175.0,2.441812136325852,45.88778459808743,0.106842470912977
43,13,1002500.0,1155.0,1.1521197007481296,43.62620998354747,5.180937733902614
44,976,,28.0,0.0,,
45,973,,120.0,0.0,,
46,78,1202700.0,814.0,0.6768105096865387,48.76667213429242,2.031669938148007
47,54,716600.0,734.0,1.024281328495674,48.55392160924746,5.591203340582444
48,80,556700.0,601.0,1.0795760732890247,49.6939781092626,2.3191194309699954
49,69,1131200.0,912.0,0.8062234794908062,46.103481275318025,4.371412874462167
50,53,270800.0,429.0,1.5841949778434268,48.04774981637336,-0.3266038275897466
51,93,1227100.0,284.0,0.23143998044169178,48.48483303281248,2.453502437002608
52,59,2440300.0,1354.0,0.5548498135475146,50.23822759295922,3.2355958681911274
53,76,910200.0,982.0,1.078883761810591,49.46718923354426,1.150986274771944
54,972,,145.0,0.0,,
55,14,587700.0,1222.0,2.0792921558618342,49.011171640887525,0.0469967337272574
56,75,2234100.0,2628.0,1.1763126091043372,48.86028960291575,2.344436803767108
57,02,510600.0,756.0,1.4806110458284372,47.660306049144765,2.99216570495
58,60,749400.0,896.0,1.1956231651988258,49.07202725440483,2.4731642323965266
59,91,1102900.0,566.0,0.5131924925197208,48.38377816524866,2.4105215525055024
60,34,990600.0,934.0,0.9428629113668484,43.896833009004254,3.172920914215404
61,23,105100.0,421.0,4.005708848715509,46.09339882545565,2.0184211888109207
62,83,743800.0,694.0,0.9330465178811509,43.73746625468433,5.685253133838592
63,81,354800.0,444.0,1.2514092446448704,44.20339364368272,2.034036672355305
64,45,617600.0,641.0,1.0378886010362693,47.8213682486708,2.387468110416884
65,35,886900.0,1031.0,1.1624760401398129,47.94251081048282,-1.0558316891692874
66,94,1193000.0,350.0,0.2933780385582565,48.6437565707626,2.694221298341608
67,04,133500.0,354.0,2.651685393258427,45.50308120838196,2.117387086812226
68,85,351800.0,680.0,1.9329164297896533,46.74526647367136,-0.5003126077883331
69,16,305800.0,610.0,1.9947678221059515,45.74874652315654,0.5314731404099553
70,58,201700.0,485.0,2.4045612295488348,47.09549261041197,3.3892304873989416
71,21,515500.0,1157.0,2.244422890397672,47.32931169375104,4.465532628105815
72,10,268400.0,545.0,2.0305514157973175,48.17336758906448,4.0178010346818525
73,36,200700.0,450.0,2.242152466367713,46.830014880300375,1.874900043344912
74,40,361300.0,417.0,1.1541655134237476,44.20583142830622,-0.2843994237530357
75,84,472400.0,808.0,1.7104149026248943,44.25166617340537,4.824170097190029
76,73,335800.0,508.0,1.512805241215009,45.829519154383405,5.309431454823031
77,08,269200.0,393.0,1.4598811292719167,47.332379372842254,2.763155746828256
78,46,162600.0,645.0,3.9667896678966788,44.81878313057944,1.7919895783517807
79,61,211000.0,464.0,2.199052132701422,48.411765212548254,0.607650469364844
80,65,227400.0,315.0,1.3852242744063326,43.46110647394505,0.4234351913102139
81,87,354800.0,496.0,1.3979706877113867,45.91954580219797,1.3259222063322094
82,07,270700.0,535.0,1.976357591429627,45.75696356586809,2.54717838162231
83,38,1034600.0,748.0,0.7229847283974483,45.5215248898297,5.017600165088434
84,37,527500.0,1112.0,2.1080568720379147,47.186261769595696,0.7997481353827814
85,39,240200.0,588.0,2.447960033305579,46.8602069189898,5.300660435699335
86,55,186600.0,430.0,2.304394426580922,49.004277589665016,5.347946394703201
87,41,304700.0,614.0,2.01509681654086,47.57378014019783,1.389104529403358
88,52,178200.0,602.0,3.378226711560045,48.06359390063909,4.989539753611619
89,12,235500.0,584.0,2.4798301486199574,44.51131355967733,2.461449089961352
90,09,136300.0,319.0,2.3404255319148937,44.57610505607184,1.6155689991540625
91,25,491700.0,755.0,1.5354891193817368,47.14754814358614,5.969238021989876
92,03,324100.0,716.0,2.2091946929959887,46.72788863235416,2.371396601969048
93,79,318400.0,544.0,1.7085427135678393,46.55839539810216,0.0654368284188952
94,28,389200.0,562.0,1.4439876670092497,48.3222769113344,1.6050384440771213
95,43,152600.0,711.0,4.659239842726081,45.25247859717579,3.466706361524638
96,47,295800.0,569.0,1.9235970250169032,44.59366568265063,0.7165486289336007
97,70,222000.0,518.0,2.3333333333333335,47.575572635250325,5.612921061387648
98,50,365100.0,594.0,1.6269515201314708,48.78129618479071,-0.5442481324565889
99,74,607600.0,513.0,0.8443054641211323,46.27305031534035,5.624924571448974
100,51,547700.0,595.0,1.0863611466131093,48.659446128541866,3.853488930254634
101,90,140300.0,116.0,0.82679971489665,47.59303911304456,6.395773540500579
102,19,185400.0,534.0,2.8802588996763756,45.484540548682745,1.9495946496693648
103,01,532800.0,669.0,1.2556306306306306,46.487251187284414,3.1761504790687267
104,48,58000.0,282.0,4.862068965517241,44.75268191007719,3.328022338034184
105,24,337100.0,1017.0,3.016908929101157,45.14682474010823,0.9961677201683246
106,89,328300.0,695.0,2.116966189460859,47.71219397835576,3.4820083109740403
107,18,289600.0,546.0,1.8853591160220995,47.0446932380208,2.405525732904558
